,precision,recall,f1-score,support
Tomato__BacterialSpot,0.9385026737967914,0.8775,0.9069767441860465,400.0
Tomato__EarlyBlight,0.9080459770114943,0.7247706422018348,0.8061224489795918,218.0
Tomato__Healthy,0.9152542372881356,0.9759036144578314,0.9446064139941691,332.0
Tomato__LateBlight,0.884090909090909,0.9725,0.9261904761904762,400.0
Tomato__LeafMold,0.9104477611940298,0.8798076923076923,0.8948655256723717,208.0
Tomato__MosaicVirus,0.9565217391304348,0.7764705882352941,0.8571428571428571,85.0
Tomato__SeptoriaLeafSpot,0.8664987405541562,0.8981723237597912,0.882051282051282,383.0
Tomato__SpiderMites,0.8651685393258427,0.9194029850746268,0.8914616497829233,335.0
Tomato__TargetSpot,0.82,0.8785714285714286,0.8482758620689655,280.0
Tomato__YellowLeafCurlVirus,0.9946808510638298,0.935,0.9639175257731959,400.0
accuracy,0.9020059191055574,0.9020059191055574,0.9020059191055574,0.9020059191055574
macro avg,0.9059211428455625,0.88380992746085,0.8921610785841878,3041.0
weighted avg,0.9045400078295373,0.9020059191055574,0.9013974446112231,3041.0
