,precision,recall,f1-score,support
Tomato__BacterialSpot,0.9523809523809523,0.95,0.951188986232791,400.0
Tomato__EarlyBlight,0.9432989690721649,0.8394495412844036,0.8883495145631068,218.0
Tomato__Healthy,0.9450867052023122,0.9849397590361446,0.9646017699115044,332.0
Tomato__LateBlight,0.955,0.955,0.955,400.0
Tomato__LeafMold,0.8883720930232558,0.9182692307692307,0.9030732860520094,208.0
Tomato__MosaicVirus,0.971830985915493,0.8117647058823529,0.8846153846153846,85.0
Tomato__SeptoriaLeafSpot,0.8902439024390244,0.9530026109660574,0.9205548549810845,383.0
Tomato__SpiderMites,0.9518072289156626,0.9432835820895522,0.9475262368815592,335.0
Tomato__TargetSpot,0.9293286219081273,0.9392857142857143,0.9342806394316163,280.0
Tomato__YellowLeafCurlVirus,0.9872122762148338,0.965,0.9759797724399494,400.0
accuracy,0.941137783623808,0.941137783623808,0.941137783623808,0.941137783623808
macro avg,0.9414561735071827,0.9259995144313455,0.9325170445109006,3041.0
weighted avg,0.9420135259552902,0.941137783623808,0.9409402875039555,3041.0
