,precision,recall,f1-score,support
Tomato__BacterialSpot,0.9636363636363636,0.9275,0.9452229299363057,400.0
Tomato__EarlyBlight,0.9430051813471503,0.8348623853211009,0.8856447688564477,218.0
Tomato__Healthy,0.9560117302052786,0.9819277108433735,0.9687964338781575,332.0
Tomato__LateBlight,0.9400479616306955,0.98,0.9596083231334149,400.0
Tomato__LeafMold,0.96875,0.8942307692307693,0.93,208.0
Tomato__MosaicVirus,0.9733333333333334,0.8588235294117647,0.9125,85.0
Tomato__SeptoriaLeafSpot,0.8918918918918919,0.9477806788511749,0.9189873417721519,383.0
Tomato__SpiderMites,0.9461077844311377,0.9432835820895522,0.9446935724962631,335.0
Tomato__TargetSpot,0.8655737704918033,0.9428571428571428,0.9025641025641026,280.0
Tomato__YellowLeafCurlVirus,0.9948979591836735,0.975,0.9848484848484849,400.0
accuracy,0.9414666228214403,0.9414666228214403,0.9414666228214403,0.9414666228214403
macro avg,0.9443255976151328,0.9286265798604878,0.9352865957485328,3041.0
weighted avg,0.9429591020033503,0.9414666228214403,0.941383695570032,3041.0
