,precision,recall,f1-score,support
Tomato__BacterialSpot,0.9597989949748744,0.955,0.9573934837092731,400.0
Tomato__EarlyBlight,0.9362745098039216,0.8761467889908257,0.9052132701421801,218.0
Tomato__Healthy,0.9644970414201184,0.9819277108433735,0.9731343283582089,332.0
Tomato__LateBlight,0.9382422802850356,0.9875,0.9622411693057247,400.0
Tomato__LeafMold,0.9646464646464646,0.9182692307692307,0.9408866995073891,208.0
Tomato__MosaicVirus,0.9866666666666667,0.8705882352941177,0.925,85.0
Tomato__SeptoriaLeafSpot,0.9384615384615385,0.9556135770234987,0.9469598965071151,383.0
Tomato__SpiderMites,0.9877675840978594,0.9641791044776119,0.9758308157099698,335.0
Tomato__TargetSpot,0.9290540540540541,0.9821428571428571,0.9548611111111112,280.0
Tomato__YellowLeafCurlVirus,0.9923857868020305,0.9775,0.9848866498740554,400.0
accuracy,0.9582374219006906,0.9582374219006906,0.9582374219006906,0.9582374219006906
macro avg,0.9597794921212565,0.9468867504541514,0.9526407424225027,3041.0
weighted avg,0.9587217566804765,0.9582374219006906,0.9580746857268183,3041.0
