,precision,recall,f1-score,support
Tomato__BacterialSpot,0.9308510638297872,0.875,0.9020618556701031,400.0
Tomato__EarlyBlight,0.8776595744680851,0.7568807339449541,0.812807881773399,218.0
Tomato__Healthy,0.8986301369863013,0.9879518072289156,0.9411764705882353,332.0
Tomato__LateBlight,0.9297820823244553,0.96,0.9446494464944649,400.0
Tomato__LeafMold,0.9154228855721394,0.8846153846153846,0.8997555012224939,208.0
Tomato__MosaicVirus,0.9836065573770492,0.7058823529411765,0.821917808219178,85.0
Tomato__SeptoriaLeafSpot,0.8404761904761905,0.9216710182767625,0.8792029887920298,383.0
Tomato__SpiderMites,0.8967551622418879,0.9074626865671642,0.9020771513353115,335.0
Tomato__TargetSpot,0.8282828282828283,0.8785714285714286,0.8526863084922011,280.0
Tomato__YellowLeafCurlVirus,0.9921259842519685,0.945,0.967989756722151,400.0
accuracy,0.9049654718842486,0.9049654718842486,0.9049654718842486,0.9049654718842486
macro avg,0.9093592465810693,0.8823035412145787,0.8924325169309567,3041.0
weighted avg,0.9072764599390458,0.9049654718842486,0.904386071934227,3041.0
